,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
3656,407.0,카멜리아힐,3,29,2023-11-16,13.416666666666666,17,11,64,4,2023-11-16 00:00:00,November,3,fall,,,234.18576
1109,124.0,비자림,6,56,2023-11-16,12.166666666666666,17,8,69,4,2023-11-16 00:00:00,November,3,fall,,,234.09193
2425,270.0,용머리해안,3,31,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,230.52895
3592,400.0,천지연폭포,5,46,2023-11-15,14.25,18,11,30,4,2023-11-15 00:00:00,November,2,fall,,,230.25128
2078,231.0,아쿠아플라넷제주,2,26,2023-11-23,13.0,16,10,40,4,2023-11-23 00:00:00,November,3,fall,,,228.7408
2246,250.0,에코랜드테마파크,8,77,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,228.56174
1110,124.0,비자림,6,57,2023-11-17,10.041666666666666,11,9,60,4,2023-11-17 00:00:00,November,4,fall,,,227.57108
3596,400.0,천지연폭포,5,50,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,227.0188
1903,212.0,스누피가든,6,58,2023-11-18,10.5,14,7,40,1,2023-11-18 00:00:00,November,5,fall,,,226.02583
3597,400.0,천지연폭포,5,51,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,224.20882
3432,382.0,주상절리대,5,48,2023-11-17,11.75,14,10,30,4,2023-11-17 00:00:00,November,4,fall,,,222.79738
1904,212.0,스누피가든,6,59,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,222.28795
3431,382.0,주상절리대,5,47,2023-11-16,15.041666666666666,19,13,66,4,2023-11-16 00:00:00,November,3,fall,,,221.37523
3595,400.0,천지연폭포,5,49,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,219.21382
2248,250.0,에코랜드테마파크,8,79,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,217.77351
1782,199.0,쇠소깍,5,45,2023-11-14,13.76923076923077,16,12,30,4,2023-11-14 00:00:00,November,1,fall,,,216.97173
2407,268.0,용두암,11,103,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,216.86232
2072,231.0,아쿠아플라넷제주,2,20,2023-11-16,13.291666666666666,17,10,72,4,2023-11-16 00:00:00,November,3,fall,,,215.01851
2247,250.0,에코랜드테마파크,8,78,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,212.98611
2409,268.0,용두암,11,105,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,212.8593
2543,283.0,월정리해변,6,59,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,212.61168
236,27.0,곽지해수욕장,7,65,2023-11-16,12.5,17,10,73,4,2023-11-16 00:00:00,November,3,fall,,,212.24017
2077,231.0,아쿠아플라넷제주,2,25,2023-11-22,14.0,18,10,20,1,2023-11-22 00:00:00,November,2,fall,,,211.7484
3599,400.0,천지연폭포,5,53,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,210.18669
3591,400.0,천지연폭포,5,45,2023-11-14,13.76923076923077,16,12,30,4,2023-11-14 00:00:00,November,1,fall,,,209.61353
2404,268.0,용두암,11,100,2023-11-15,13.125,16,11,20,4,2023-11-15 00:00:00,November,2,fall,,,209.09422
2411,268.0,용두암,11,107,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,208.8311
2076,231.0,아쿠아플라넷제주,2,24,2023-11-20,12.5,16,9,10,1,2023-11-20 00:00:00,November,0,fall,,,208.41385
32,4.0,9.81파크,7,68,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,208.17517
2410,268.0,용두암,11,106,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,208.1255
2074,231.0,아쿠아플라넷제주,2,22,2023-11-18,10.5,14,7,40,1,2023-11-18 00:00:00,November,5,fall,,,206.47197
1945,217.0,신창풍차해안도로,9,82,2023-11-15,12.583333333333334,15,10,30,4,2023-11-15 00:00:00,November,2,fall,,,206.46011
1784,199.0,쇠소깍,5,47,2023-11-16,15.041666666666666,19,13,66,4,2023-11-16 00:00:00,November,3,fall,,,206.39203
2075,231.0,아쿠아플라넷제주,2,23,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,206.3559
3593,400.0,천지연폭포,5,47,2023-11-16,15.041666666666666,19,13,66,4,2023-11-16 00:00:00,November,3,fall,,,206.2713
1944,217.0,신창풍차해안도로,9,81,2023-11-14,12.538461538461538,13,12,30,4,2023-11-14 00:00:00,November,1,fall,,,205.8277
397,45.0,금오름,10,91,2023-11-15,11.708333333333334,15,9,30,4,2023-11-15 00:00:00,November,2,fall,,,205.69565
1905,212.0,스누피가든,6,60,2023-11-20,12.5,16,9,10,1,2023-11-20 00:00:00,November,0,fall,,,205.32559
1952,217.0,신창풍차해안도로,9,89,2023-11-23,13.5,15,12,40,4,2023-11-23 00:00:00,November,3,fall,,,205.3225
3437,382.0,주상절리대,5,53,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,203.08429
2422,270.0,용머리해안,3,28,2023-11-15,12.541666666666666,16,10,30,4,2023-11-15 00:00:00,November,2,fall,,,202.07372
237,27.0,곽지해수욕장,7,66,2023-11-17,10.5,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,200.22746
33,4.0,9.81파크,7,69,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,199.77132
31,4.0,9.81파크,7,67,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,199.76157
2403,268.0,용두암,11,99,2023-11-14,12.615384615384617,14,12,30,4,2023-11-14 00:00:00,November,1,fall,,,199.63686
2406,268.0,용두암,11,102,2023-11-17,10.833333333333334,12,9,60,4,2023-11-17 00:00:00,November,4,fall,,,198.14485
2429,270.0,용머리해안,3,35,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,196.64952
446,50.0,김녕해수욕장,6,59,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,195.80319
