title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
금오름,10,45.0,2023-11-17,10.875,12,10,60,4,164.74475
김녕해수욕장,6,50.0,2023-11-20,12.5,16,9,10,1,163.9427
도두동무지개해안도로,11,73.0,2023-11-19,15.0,18,12,20,1,163.31787
9.81파크,7,4.0,2023-11-23,12.5,15,10,40,4,162.7062
정방폭포,5,305.0,2023-11-16,15.041666666666666,19,13,66,4,162.40738
9.81파크,7,4.0,2023-11-15,11.791666666666666,15,9,30,4,162.10313
용머리해안,3,270.0,2023-11-16,13.416666666666666,17,11,64,4,162.0998
하귀애월해안도로,7,434.0,2023-11-23,12.5,15,10,40,4,160.09224
9.81파크,7,4.0,2023-11-14,11.76923076923077,13,10,30,4,159.84554
성산포종합여객터미널,2,180.0,2023-11-18,10.5,14,7,40,1,159.37773
하귀애월해안도로,7,434.0,2023-11-17,10.5,12,10,60,4,159.0164
제주신화월드,3,335.0,2023-11-19,15.0,18,12,20,1,158.96324
9.81파크,7,4.0,2023-11-17,10.5,12,10,60,4,157.86171
정방폭포,5,305.0,2023-11-23,12.5,15,10,40,4,156.97923
제주신화월드,3,335.0,2023-11-18,11.5,14,9,40,1,156.8825
도두동무지개해안도로,11,73.0,2023-11-18,11.5,14,9,40,1,155.32414
광치기해변,2,30.0,2023-11-22,14.0,18,10,20,1,155.17743
스누피가든,6,212.0,2023-11-16,12.166666666666666,17,8,69,4,155.16797
9.81파크,7,4.0,2023-11-16,12.5,17,10,73,4,154.9673
월정리해변,6,283.0,2023-11-20,12.5,16,9,10,1,154.80652
도두동무지개해안도로,11,73.0,2023-11-20,13.5,16,11,10,1,154.52765
광치기해변,2,30.0,2023-11-20,12.5,16,9,10,1,154.11067
용머리해안,3,270.0,2023-11-17,10.75,12,10,60,4,153.56358
금능해수욕장,10,42.0,2023-11-22,14.5,17,12,20,1,153.46004
월정리해변,6,283.0,2023-11-23,13.0,16,10,40,4,152.52867
도두동무지개해안도로,11,73.0,2023-11-22,14.0,17,11,20,1,150.57465
